,Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Population,NZDep2018,NZDep2018_Score
55,4,3.0,3177.0,1400000,-36.9499586,174.64297019999998,51,21,15,39,27,27,180,2.0,903.0
56,5,3.0,545.0,1725000,-36.8581658,174.8281687,39,39,33,24,27,27,189,4.0,950.0
57,4,2.0,420.0,2150000,-36.8587685,174.8284616,39,39,33,24,27,27,189,4.0,950.0
58,3,2.0,481.0,1325000,-36.8022939,174.78551330000002,36,9,12,18,21,12,105,2.0,914.0
59,3,1.0,279.0,1220000,-36.8839242,174.80260249999998,27,21,15,21,18,24,120,4.0,955.0
60,3,1.0,120.0,630000,-37.0230935,174.9208854,54,21,21,15,9,9,126,10.0,1255.0
61,4,2.0,1037.0,1400000,-36.8949914,174.8937769,54,21,30,27,21,24,180,4.0,949.0
62,4,3.0,202.0,1340000,-36.8763644,174.8190155,54,12,27,30,24,45,189,3.0,922.0
63,4,2.0,1031.0,2450000,-36.8762123,174.8199745,54,12,27,30,24,45,189,3.0,922.0
64,4,2.0,1031.0,2450000,-36.8762123,174.8199745,54,12,27,30,24,45,189,3.0,922.0
65,3,1.0,602.0,530000,-37.0252348,174.8630015,105,48,42,27,30,12,267,10.0,1189.0
66,4,2.0,810.0,730000,-37.213396200000005,174.9054744,48,15,12,27,27,36,168,2.0,911.0
67,3,1.0,475.0,810000,-36.903786,174.6686326,30,21,27,24,12,21,138,6.0,988.0
68,3,1.0,736.0,1170000,-36.7780575,174.7153418,45,42,30,18,15,30,174,4.0,955.0
69,3,1.0,110.0,540000,-37.0289075,174.9155234,54,18,18,18,9,6,123,10.0,1162.0
70,4,1.0,99.0,485000,-37.02979929999999,174.911026,93,66,39,24,18,9,243,10.0,1198.0
71,3,2.0,153.0,790000,-36.9208765,174.6304169,72,24,30,33,33,51,234,3.0,935.0
72,5,3.0,245.0,1240000,-36.8888684,174.8125681,57,42,45,42,9,30,228,2.0,906.0
73,4,1.0,2567.0,2725000,-36.889369,174.813201,57,42,45,42,9,30,228,2.0,906.0
